station_m	X_ref_m	Y_ref_m	psi_ref_rad	curvature_1pm	local_speed_limit_mps	vx_ref_mps	yaw_rate_ref_radps
51.75	51.7499961915746	0.00274191582208598	0.00461993961117803	0.00500096321484289	15	15	0.0750144482226433
52	51.9999927333988	0.00405339446682249	0.00594697795449515	0.00560137013182406	15	15	0.0840205519773608
52.25	52.2499871864668	0.00571538630003274	0.00742062467709005	0.00617401078214764	15	15	0.0926101617322147
52.5	52.4999787684951	0.0077636712802691	0.00903398334556897	0.00671924478843413	15	15	0.100788671826512
52.75	52.7499665483044	0.0102323144084703	0.0107802470713071	0.0072374291480093	15	15	0.108561437220139
53	52.9999494426725	0.0131536874758831	0.0126526979195736	0.00772891879536455	15	15	0.115933781930468
53.25	53.2499262152522	0.0165584906373983	0.0146447064689894	0.00819406723085144	15	15	0.122911008462772
53.5	53.4998954773982	0.0204757738619383	0.0167497315349993	0.00863322719375664	15	15	0.12949840790635
53.75	53.749855690752	0.0249329583151919	0.0189613200658677	0.00904675136014129	15	15	0.135701270402119
54	53.9998051714418	0.0299558577320534	0.02127310721507	0.00943499304796133	15	15	0.14152489571942
54.25	54.2497420957529	0.0355686998367411	0.0236788165898484	0.00979830691396432	15	15	0.146974603709465
54.5	54.4996645071347	0.0417941478679394	0.0261722606720521	0.0101370496287372	15	15	0.152055744431058
54.75	54.749570324408	0.0486533222645449	0.028747341404217	0.0104515805180886	15	15	0.156773707771329
55	54.9994573510458	0.0561658225648613	0.0313980509310964	0.0107422621606051	15	15	0.161133932409077
