station_m	X_ref_m	Y_ref_m	psi_ref_rad	curvature_1pm	local_speed_limit_mps	vx_ref_mps	yaw_rate_ref_radps
88.75	88.75	0	0	0	13.4	7.21695950891045	0
89	89	0	0	0	13.4	7.22684092459564	0
89.25	89.25	0	0	0	13.4	7.23670748193786	0
89.5	89.5	0	0	0	13.4	7.24655924181718	0
89.75	89.75	0	0	0	13.4	7.2563962646922	0
90	90	0	0	0	13.4	7.26621861060421	0
90.25	90.25	0	0	0	13.4	7.27602633918121	0
90.5	90.5	0	0	0	13.4	7.28581950964186	0
90.75	90.75	0	0	0	13.4	7.29559818079946	0
91	91	0	0	0	13.4	7.30536241106581	0
91.25	91.25	0	0	0	13.4	7.31511225845505	0
91.5	91.5	0	0	0	13.4	7.32484778058748	0
91.75	91.75	0	0	0	13.4	7.33456903469325	0
92	92	0	0	0	13.4	7.34427607761612	0
92.25	92.25	0	0	0	13.4	7.35396896581708	0
92.5	92.5	0	0	0	13.4	7.36364775537797	0
92.75	92.75	0	0	0	13.4	7.37331250200503	0
93	93	0	0	0	13.4	7.38296326103246	0
93.25	93.25	0	0	0	13.4	7.39260008742586	0
93.5	93.5	0	0	0	13.4	7.40222303578572	0
93.75	93.75	0	0	0	13.4	7.41183216035075	0
94	94	0	0	0	13.4	7.42142751500129	0
94.25	94.25	0	0	0	13.4	7.43100915326263	0
94.5	94.5	0	0	0	13.4	7.44057712830824	0
94.75	94.75	0	0	0	13.4	7.45013149296305	0
95	95	0	0	0	13.4	7.45967229970666	0
95.25	95.25	0	0	0	13.4	7.46919960067646	0
95.5	95.5	0	0	0	13.4	7.47871344767079	0
95.75	95.75	0	0	0	13.4	7.48821389215202	0
96	96	0	0	0	13.4	7.49770098524959	0
96.25	96.25	0	0	0	13.4	7.50717477776306	0
96.5	96.5	0	0	0	13.4	7.51663532016506	0
96.75	96.75	0	0	0	13.4	7.52608266260426	0
97	97	0	0	0	13.4	7.53551685490827	0
97.25	97.25	0	0	0	13.4	7.54493794658651	0
97.5	97.5	0	0	0	13.4	7.5543459868331	0
97.75	97.75	0	0	0	13.4	7.56374102452963	0
98	98	0	0	0	13.4	7.56410955591947	0
98.25	98.25	0	0	0	13.4	7.53416574520682	0
